title,year,genre,runtime,rating,synopsis,director,vote
The Mosquito Philosophy,(2019),"
Comedy, Drama            ",70 min,7.1,"
    When Suresh springs a surprise on his friends by announcing that he is to be wedded, it is Suresh himself who is in for a surprise.",Jayaprakash Radhakrishnan,8
Can Dostlar,(2019),"
Comedy, Family            ",103 min,5.5,"
    Children who play constantly with their phones now seem to have forgotten to play on the street. At the insistence of new friends, children decide to play in the park again to end this ...                See full summary »
",Tugçe Soysop,209
Shah Jahan Regency,(2019),"
Drama            ",156 min,6.5,"
    Based on the acclaimed novel Chowringhee by a Bengali novelist Mani Shankar Mukherjee.",Srijit Mukherji,630
72 Hours: Martyr Who Never Died,(2019),"
Action, Biography, Drama            ",130 min,5.3,"
    The story is based on the life of Rifleman Jaswant Singh Rawat. 55 years ago during 1962 Indo-China war , when the destiny of war was pre decided, there stood a brave soldier from 4th ...                See full summary »
",Avinash Dhyani,201
Borç Harç,(2019),"
Comedy            ",90 min,1.4,"
    Murat separates from his girlfriend who made marriage plans. He makes troll news on a television channel. Murat finds himself in a great debt bog. Trying to get rid of this bog, Murat finds...                See full summary »
",Efe Hizir,4066
Neeyum Njanum,(2019),"
Drama, Romance            ",161 min,6.1,"
    A newly married couple moves into a small town hoping to start a new life. But odds are against them and their life takes a roller coaster ride.",A.K. Sajan,70
Baap Re Baap,(2019),"
Comedy, Drama            ",120 min,7.4,"
    At a tricky crossroads of life, when the relation between Ajay (Tej Joshi) and his father (Rajeev Mehta) turn sour, fate serves him a tough lesson he must learn. What ensues is a hyper-coaster ride of thrill, humor and emotions altogether.",Sagar Kalaria,16
Have Thase Baap Re,(2019),"
Drama            ",134 min,5.6,"
    A tale of twisted relations about two generations and their difference of opinions, beliefs and values. KK, a self made man living simple life with pure heart always helps others with his ...                See full summary »
",Nirav Barot,10
Kaka Ji,(2019),"
Drama            ",123 min,5.4,"
    The story of Kaka Ji highlights the era of the 90s in Punjab when the notorious gang Kale Kachia Wale was dominant in the state. Kaka Ji is the son of royal Sardar Kartar Singh Brar falls ...                See full summary »
",Mandeep Benipal,49
Diablo. The race for everything,(I) (2019),"
Action            ",106 min,4.2,"
    The protagonist of the film is a young boy named Kuba who, due to his seriously ill sister, decides to get a quick cash by taking part in illegal car races. On his way he meets not only ...                See full summary »
",Daniel Markowicz,721
Mikhael,(2019),"
Action, Thriller            ",150 min,5.0,"
    When a vengeful man with criminal ties starts hunting down his family, Dr. Mikhael vows to protect them and annihilate his enemy.",Haneef Adeni,1158
Yuri!!! on Ice Gekijo-ban: Ice Adolescence,(2019),"
Animation, Comedy, Drama            ",,4.5,"
Add a Plot
",Sayo Yamamoto,17
When Vows Break,(2019),"
Thriller            ",,4.7,"
    Fearing for her life, an engaged woman hits upon a plan to marry her volatile fiance but to escape his clutches during the honeymoon.",Tom Shell,119
Chiwawa-chan,(2019),"
Drama, Mystery            ",104 min,6.6,"
    In Tokyo, Chiwawa is a popular girl. One day, her dead body is found in Tokyo Bay. Her body are in pieces. Chiwawa's friends gather to remember her, but they realize they do not know anything about her like her real name or her background.",Ken Ninomiya,107
Ga woo man si ging,(2019),"
Comedy, Drama            ",92 min,5.8,"
    An ordinary family of five try their best to remove the billboard that blocks the sea view from their house window.",Herman Yau,187
The Lunnis and the Great Fairy Tales Adventure,(2019),"
Adventure, Family, Fantasy            ",83 min,6.9,"
    Fantasy is in danger. The evil Crudo has discovered the way to finish with the Magic Book, the book that contains all the stories invented by Mankind. A 9 year-old girl, is the chosen one to save it with the help of her friends The Lunnis.",Juan Pablo Buscarini,74
Çiçero,(2019),"
Action, Crime, Drama            ",126 min,6.6,"
    Ilyas Bazna works as a butler in the British Embassy in Turkey during WW2. After Bazna starts to work as a German spy he is going to experience a series of unexpected events.",Serdar Akar,4576
Birbal Trilogy,(2019),"
Thriller            ",163 min,7.9,"
    Birbal movie is a Trilogy thriller series written and directed by MG Srinivas and produced by TR Chandrashekar under Crystal Paark Cinemas banner while Saurabh Vaibhav and Saurabh Lokhande ...                See full summary »
",M.G. Srinivas,659
Mon inconnue,(2019),"
Comedy, Drama, Family            ",117 min,7.0,"
    A man tries to make his wife fall in love with him again, after waking up in an alternate reality where she never knew him.",Hugo Gélin,2680
Les petits flocons,(2019),"
Comedy            ",85 min,4.2,"
    Wanda's life has gone awry since she had phlebitis. This mannequin legs is found unemployed. On a holiday in the mountains, she can not ski. Her husband does not understand her anymore. His...                See full summary »
",Joséphine de Meaux,86
Sangili,(2019),"
Drama            ",108 min,7.1,"
Add a Plot
",Lalith Pannipitiya,11
Masukarêdo hoteru,(2019),"
Crime, Mystery            ",133 min,6.3,"
    A serial (3) killer leaves a GPS code of his next target with each victim - this time Hotel Cortesia Tokyo. A detective goes undercover as hotel staff - haircut, manners etc.",Masayuki Suzuki,752
Da zhen shen huo sang,(2019),"
Comedy, Crime, Mystery            ",98 min,4.8,"
Add a Plot
",Roy Hin Yeung Chow,19
The Lift Boy,(2019),"
Comedy, Drama            ",107 min,7.3,"
    The Lift Boy is a coming of age story of a 24-year-old vagabond who is forced to work at a posh building in Mumbai as a Lift Boy when his bread-winning father falls ill.",Jonathan Augustin,1528
Rangeela Raja,(2019),"
Comedy            ",162 min,2.4,"
    Set in Rajasthan, it is the story of two brothers who lead completely different lifestyles. Due to certain circumstances in life, the elder brother gets drawn towards an aimless life which ...                See full summary »
",Sikander Bharti,176
I Hate Kids,(2019),"
Adventure, Comedy            ",89 min,5.8,"
    Nick, writer of ""I Hate Kids"", is getting married when 13 y.o. Mason claims to be his son. A psychic and DNA tests prove it. Mason was adopted and doesn't know his real mom. Nick and co. visit all his girlfriends/flings 14 years ago.",John Asher,1610
Split Lip,(2019),"
Action            ",100 min,3.5,"
    Contract killer SET makes a mistake during an operation and her employer doesn't tolerate mistakes. She gets a head start before other killers are sent her way. A young man sees her split lip and treats her like a hurt puppy or kitten.",Christopher Sheffield,198
Close,(I) (2019),"
Action, Drama, Thriller            ",94 min,5.7,"
    A female bodyguard is hired to protect an heiress on the run from assassins.",Vicky Jewson,19275
Fraud Saiyyan,(2019),"
Comedy, Drama            ",109 min,4.2,"
    Fraud Saiyyan is the story of a con artist in North India who convinces women to marry him just so he can live off their money.",Sourabh Shrivastava,576
IO,(2019),"
Adventure, Drama, Romance            ",96 min,4.7,"
    As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet.",Jonathan Helpert,29124
Vaga Carne,(2019),"
Drama            ",45 min,8.2,"
    A wandering voice is able to invade any matter, solid, liquid, or gaseous, and it decides for the first time to invade a woman's body. From this experience it narrates what it feels as a ...                See full summary »
",Ricardo Alves Jr.,13
Top Gear,(2019),"
Comedy, Drama            ",84 min,3.1,"
    Soleyman drives a laughing train to prove himself a man in the family and he is trying to fix his shortcomings in the midst of a happy atmosphere.",Mohamad Ahangarani,42
Porto Farina,(2019),"
Comedy, Romance            ",88 min,8.1,"
    The film tells the story of a man, Aly, in need of a child, back in his native country to marry his first cousin - a marriage arranged by their respective parents.",Ibrahim Letaïef,26
Made in Abyss: Wandering Twilight,(2019),"
Animation, Adventure, Fantasy            ",110 min,7.4,"
    After departing from Ozen's camp, Riko and Reg continue their journey, encountering more dangers as they descend further into the Abyss.",Masayuki Kojima,77
El-Mahraja,(2019),"
Comedy, Romance            ",118 min,4.9,"
    The widow of ""Bahjat Bek"", who died and left a great mystery behind, asks ""El Maharaja"", to help her solve this mystery. However, he falls in love with her daughter which leads to a complicated situation.",Fadi Haddad,10
Perimenontas ti Nona,(2019),"
Comedy            ",96 min,6.4,"
    Two best friends, Heracles and Agisilaos start for Naxos, as they expects Heracles's heavily sick goddess to die. There comes a Greek girl from Germany to visit her country for the first time. Finally, they realize that somehow they already know each other...",Nikos Zapatinas,139
Preman Pensiun,(2019),"
Comedy, Crime, Drama            ",94 min,7.2,"
    After three years, the business of Muslihat, who has retired as a thug, has a problem. He also faces new problems when her daughter grows up and visited by the boys. The friction between his former subordinates also starts to happen again.",Aris Nugraha,112
Terimakasih Cinta,(2019),"
Drama            ",101 min,7.8,"
    Eva just enters high school when she meets Ryan, because both belong to a group of student who have a disease during the School Orientation Period. Ryan thinks that Eva is just pretending ...                See full summary »
",Tema Patrosza,10
Poliorkia,(2019),"
Adventure, Biography, History            ",101 min,6.9,"
    Inspired by the story of the battle of Dovra monastery in 1822 in Veria, Greece, the love story of two young Greeks unfolds as they prepare to secretly get married in a church that is surrounded by Turkish troops.",Vasilis Tsikaras,68
Felina,(2019),"
Horror            ",,6.9,"
    Adam and Felina are going for an expedition into a thick forest. Throughout the expedition, Adam and Felina had to face various challenges besides having to adhere to all taboo. One night, ...                See full summary »
",Sandosh Kesavan,9
